checkpoint,episode,status,pnl_usd,pnl_pct,trades,win_rate,profit_factor,max_drawdown,composite_score,avg_trade_pnl,error
best_model.pt,0,error,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,"Traceback (most recent call last):
  File ""/Users/sansel/Projects/CryptoArbitrage/ml_pipeline/test_inference.py"", line 1156, in <module>
    success = test_model_inference(args)
  File ""/Users/sansel/"
checkpoint_ep50.pt,50,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep100.pt,100,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep150.pt,150,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep200.pt,200,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep250.pt,250,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep300.pt,300,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep350.pt,350,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep400.pt,400,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep450.pt,450,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep500.pt,500,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep550.pt,550,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep600.pt,600,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep650.pt,650,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep700.pt,700,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep750.pt,750,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep800.pt,800,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep850.pt,850,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep900.pt,900,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep950.pt,950,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep1000.pt,1000,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep1050.pt,1050,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep1100.pt,1100,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep1150.pt,1150,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep1200.pt,1200,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep1250.pt,1250,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep1300.pt,1300,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep1350.pt,1350,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
checkpoint_ep1400.pt,1400,success,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,
