checkpoint,episode,status,pnl_usd,pnl_pct,trades,win_rate,profit_factor,max_drawdown,composite_score,avg_trade_pnl,error
best_model.pt,0,success,181.83,18.18,232,34.1,1.41,7.79,0.895,0.7837500000000001,
final_model.pt,0,success,167.84,16.78,55,56.4,4.26,1.51,0.9958,3.0516363636363635,
checkpoint_ep50.pt,50,success,12.04,1.2,1,100.0,12044.11,0.0,0.6182,12.04,
checkpoint_ep100.pt,100,success,-1.47,-0.15,1,0.0,0.0,0.15,0.185,-1.47,
checkpoint_ep150.pt,150,success,12.04,1.2,1,100.0,12044.11,0.0,0.6182,12.04,
checkpoint_ep200.pt,200,success,12.04,1.2,1,100.0,12044.11,0.0,0.6182,12.04,
checkpoint_ep250.pt,250,success,11.28,1.13,67,46.3,1.1,7.98,0.4598,0.16835820895522388,
checkpoint_ep300.pt,300,success,25.15,2.52,48,43.8,1.24,2.67,0.613,0.5239583333333333,
checkpoint_ep350.pt,350,success,54.94,5.49,11,63.6,9.21,0.47,0.8991,4.994545454545454,
checkpoint_ep400.pt,400,success,12.04,1.2,1,100.0,12044.11,0.0,0.6182,12.04,
checkpoint_ep450.pt,450,success,12.04,1.2,1,100.0,12044.11,0.0,0.6182,12.04,
checkpoint_ep500.pt,500,success,12.04,1.2,1,100.0,12044.11,0.0,0.6182,12.04,
checkpoint_ep550.pt,550,success,12.04,1.2,1,100.0,12044.11,0.0,0.6182,12.04,
checkpoint_ep600.pt,600,success,74.88,7.49,46,54.3,2.88,1.3,0.9497,1.6278260869565215,
checkpoint_ep650.pt,650,success,1.15,0.12,4,50.0,1.29,0.33,0.4047,0.2875,
checkpoint_ep700.pt,700,success,32.43,3.24,154,39.0,1.14,10.44,0.6349,0.2105844155844156,
checkpoint_ep750.pt,750,success,77.84,7.78,106,44.3,1.47,7.88,0.8625,0.7343396226415094,
checkpoint_ep800.pt,800,success,12.04,1.2,1,100.0,12044.11,0.0,0.6182,12.04,
checkpoint_ep850.pt,850,success,12.04,1.2,1,100.0,12044.11,0.0,0.6182,12.04,
checkpoint_ep900.pt,900,success,57.36,5.74,18,61.1,7.96,0.34,0.9077,3.1866666666666665,
checkpoint_ep950.pt,950,success,12.04,1.2,1,100.0,12044.11,0.0,0.6182,12.04,
checkpoint_ep1000.pt,1000,success,12.04,1.2,1,100.0,12044.11,0.0,0.6182,12.04,
checkpoint_ep1050.pt,1050,success,24.55,2.45,15,40.0,2.26,1.08,0.7253,1.6366666666666667,
checkpoint_ep1100.pt,1100,success,228.62,22.86,247,44.9,1.54,9.42,0.9125,0.925587044534413,
checkpoint_ep1150.pt,1150,success,12.04,1.2,1,100.0,12044.11,0.0,0.6182,12.04,
checkpoint_ep1200.pt,1200,success,149.0,14.9,118,37.3,1.71,4.57,0.9441,1.2627118644067796,
checkpoint_ep1250.pt,1250,success,281.0,28.1,112,46.4,2.06,3.61,0.9928,2.5089285714285716,
checkpoint_ep1300.pt,1300,success,75.73,7.57,89,38.2,1.46,6.15,0.8601,0.8508988764044945,
checkpoint_ep1350.pt,1350,success,93.7,9.37,124,44.4,1.46,5.98,0.8846,0.7556451612903226,
checkpoint_ep1400.pt,1400,success,54.57,5.46,9,55.6,6.27,0.54,0.8976,6.0633333333333335,
checkpoint_ep1450.pt,1450,success,132.13,13.21,13,38.5,6.63,1.69,0.9916,10.163846153846153,
checkpoint_ep1500.pt,1500,success,111.92,11.19,19,57.9,10.25,0.68,0.9874,5.890526315789474,
checkpoint_ep1550.pt,1550,success,12.04,1.2,1,100.0,12044.11,0.0,0.6182,12.04,
checkpoint_ep1600.pt,1600,success,12.04,1.2,1,100.0,12044.11,0.0,0.6182,12.04,
checkpoint_ep1650.pt,1650,success,33.09,3.31,3,33.3,4.76,0.88,0.788,11.030000000000001,
checkpoint_ep1700.pt,1700,success,144.02,14.4,118,42.4,1.75,6.73,0.9455,1.2205084745762713,
checkpoint_ep1750.pt,1750,success,179.89,17.99,156,41.7,1.81,3.34,0.9636,1.1531410256410255,
checkpoint_ep1800.pt,1800,success,152.32,15.23,212,39.2,1.45,7.13,0.9009,0.7184905660377359,
checkpoint_ep1850.pt,1850,success,12.04,1.2,1,100.0,12044.11,0.0,0.6182,12.04,
checkpoint_ep1900.pt,1900,success,12.04,1.2,1,100.0,12044.11,0.0,0.6182,12.04,
checkpoint_ep1950.pt,1950,success,24.09,2.41,1,100.0,24088.22,0.0,0.7238,24.09,
checkpoint_ep2000.pt,2000,success,139.77,13.98,276,39.5,1.38,8.61,0.8862,0.5064130434782609,
checkpoint_ep2050.pt,2050,success,1.6,0.16,2,50.0,1.49,0.33,0.4381,0.8,
checkpoint_ep2100.pt,2100,success,181.83,18.18,232,34.1,1.41,7.79,0.895,0.7837500000000001,
checkpoint_ep2150.pt,2150,success,224.35,22.43,19,42.1,8.46,0.89,0.9981,11.807894736842105,
checkpoint_ep2200.pt,2200,success,16.73,1.67,11,72.7,1.97,1.24,0.6548,1.520909090909091,
checkpoint_ep2250.pt,2250,success,153.79,15.38,173,40.5,1.56,5.74,0.9209,0.8889595375722543,
checkpoint_ep2300.pt,2300,success,51.0,5.1,47,42.6,1.6,2.85,0.819,1.0851063829787233,
checkpoint_ep2350.pt,2350,success,209.69,20.97,136,46.3,1.82,5.86,0.9608,1.5418382352941176,
checkpoint_ep2400.pt,2400,success,33.34,3.33,3,66.7,20.35,0.17,0.7911,11.113333333333335,
checkpoint_ep2450.pt,2450,success,155.38,15.54,239,38.9,1.58,5.35,0.9241,0.6501255230125523,
checkpoint_ep2500.pt,2500,success,136.66,13.67,209,39.7,1.4,8.84,0.8883,0.6538755980861244,
