checkpoint,episode,status,pnl_usd,pnl_pct,trades,win_rate,profit_factor,max_drawdown,composite_score,avg_trade_pnl,error
best_model.pt,0,success,40.43,4.04,38,36.8,1.45,2.16,0.7472,1.0639473684210525,
final_model.pt,0,success,21.96,2.2,8,50.0,2.52,0.56,0.7054,2.745,
checkpoint_ep50.pt,50,success,6.04,0.6,1,100.0,6035.11,0.0,0.5601,6.04,
checkpoint_ep100.pt,100,success,6.04,0.6,1,100.0,6035.11,0.0,0.5601,6.04,
checkpoint_ep150.pt,150,success,6.04,0.6,1,100.0,6035.11,0.0,0.5601,6.04,
checkpoint_ep200.pt,200,success,6.04,0.6,1,100.0,6035.11,0.0,0.5601,6.04,
checkpoint_ep250.pt,250,success,28.03,2.8,18,55.6,2.36,0.91,0.7524,1.5572222222222223,
checkpoint_ep300.pt,300,success,-13.7,-1.37,12,50.0,0.59,2.0,0.1501,-1.1416666666666666,
checkpoint_ep350.pt,350,success,6.04,0.6,1,100.0,6035.11,0.0,0.5601,6.04,
checkpoint_ep400.pt,400,success,6.04,0.6,1,100.0,6035.11,0.0,0.5601,6.04,
checkpoint_ep450.pt,450,success,6.04,0.6,1,100.0,6035.11,0.0,0.5601,6.04,
checkpoint_ep500.pt,500,success,6.04,0.6,1,100.0,6035.11,0.0,0.5601,6.04,
checkpoint_ep550.pt,550,success,6.04,0.6,1,100.0,6035.11,0.0,0.5601,6.04,
checkpoint_ep600.pt,600,success,34.62,3.46,9,66.7,5.11,0.5,0.7988,3.8466666666666662,
checkpoint_ep650.pt,650,success,16.05,1.6,3,66.7,3.38,0.66,0.6539,5.3500000000000005,
checkpoint_ep700.pt,700,success,0.61,0.06,31,48.4,1.01,1.74,0.3542,0.01967741935483871,
checkpoint_ep750.pt,750,success,8.71,0.87,25,40.0,1.22,1.0,0.4666,0.34840000000000004,
checkpoint_ep800.pt,800,success,6.04,0.6,1,100.0,6035.11,0.0,0.5601,6.04,
checkpoint_ep850.pt,850,success,6.04,0.6,1,100.0,6035.11,0.0,0.5601,6.04,
checkpoint_ep900.pt,900,success,20.08,2.01,11,54.5,2.14,0.86,0.689,1.8254545454545452,
checkpoint_ep950.pt,950,success,6.04,0.6,1,100.0,6035.11,0.0,0.5601,6.04,
checkpoint_ep1000.pt,1000,success,6.04,0.6,1,100.0,6035.11,0.0,0.5601,6.04,
checkpoint_ep1050.pt,1050,success,4.14,0.41,4,25.0,2.22,0.19,0.5409,1.035,
checkpoint_ep1100.pt,1100,success,-4.52,-0.45,41,46.3,0.95,3.35,0.2909,-0.11024390243902438,
checkpoint_ep1150.pt,1150,success,6.04,0.6,1,100.0,6035.11,0.0,0.5601,6.04,
checkpoint_ep1200.pt,1200,success,-8.85,-0.89,19,26.3,0.8,1.85,0.229,-0.46578947368421053,
checkpoint_ep1250.pt,1250,success,46.78,4.68,18,44.4,1.69,3.58,0.8131,2.598888888888889,
checkpoint_ep1300.pt,1300,success,-11.84,-1.18,16,25.0,0.73,1.92,0.1892,-0.74,
checkpoint_ep1350.pt,1350,success,9.94,0.99,25,48.0,1.24,1.66,0.4814,0.39759999999999995,
checkpoint_ep1400.pt,1400,success,22.57,2.26,2,100.0,22574.02,0.0,0.7116,11.285,
checkpoint_ep1450.pt,1450,success,34.33,3.43,5,60.0,5.94,0.36,0.7972,6.866,
checkpoint_ep1500.pt,1500,success,-28.5,-2.85,7,42.9,0.17,3.42,0.0,-4.071428571428571,
checkpoint_ep1550.pt,1550,success,6.04,0.6,1,100.0,6035.11,0.0,0.5601,6.04,
checkpoint_ep1600.pt,1600,success,6.04,0.6,1,100.0,6035.11,0.0,0.5601,6.04,
checkpoint_ep1650.pt,1650,success,9.23,0.92,3,66.7,3.13,0.43,0.5904,3.0766666666666667,
checkpoint_ep1700.pt,1700,success,11.88,1.19,21,42.9,1.35,1.36,0.5159,0.5657142857142857,
checkpoint_ep1750.pt,1750,success,16.27,1.63,24,41.7,1.42,1.11,0.5676,0.6779166666666666,
checkpoint_ep1800.pt,1800,success,-1.06,-0.11,38,34.2,0.99,3.4,0.3307,-0.027894736842105264,
checkpoint_ep1850.pt,1850,success,6.04,0.6,1,100.0,6035.11,0.0,0.5601,6.04,
checkpoint_ep1900.pt,1900,success,12.07,1.21,1,100.0,12070.21,0.0,0.6184,12.07,
checkpoint_ep1950.pt,1950,success,12.07,1.21,1,100.0,12070.21,0.0,0.6184,12.07,
checkpoint_ep2000.pt,2000,success,39.99,4.0,37,43.2,1.76,2.05,0.7924,1.0808108108108108,
checkpoint_ep2050.pt,2050,success,6.04,0.6,1,100.0,6035.11,0.0,0.5601,6.04,
checkpoint_ep2100.pt,2100,success,40.43,4.04,38,36.8,1.45,2.16,0.7472,1.0639473684210525,
checkpoint_ep2150.pt,2150,success,-36.87,-3.69,5,40.0,0.17,4.44,0.0,-7.374,
checkpoint_ep2200.pt,2200,success,13.5,1.35,4,50.0,2.44,0.93,0.63,3.375,
checkpoint_ep2250.pt,2250,success,13.17,1.32,32,34.4,1.21,1.29,0.5071,0.4115625,
checkpoint_ep2300.pt,2300,success,6.68,0.67,11,45.5,1.35,1.02,0.4666,0.6072727272727273,
checkpoint_ep2350.pt,2350,success,34.7,3.47,22,50.0,1.79,1.48,0.7656,1.5772727272727274,
checkpoint_ep2400.pt,2400,success,6.04,0.6,1,100.0,6035.11,0.0,0.5601,6.04,
checkpoint_ep2450.pt,2450,success,19.55,1.96,40,40.0,1.36,1.72,0.5874,0.48875,
checkpoint_ep2500.pt,2500,success,38.3,3.83,35,45.7,1.62,1.5,0.762,1.0942857142857143,
checkpoint_ep2550.pt,2550,success,12.45,1.24,17,35.3,1.31,1.17,0.5159,0.7323529411764705,
checkpoint_ep2600.pt,2600,success,16.94,1.69,23,43.5,1.39,1.66,0.5684,0.7365217391304348,
checkpoint_ep2650.pt,2650,success,15.34,1.53,38,55.3,1.28,1.12,0.5382,0.4036842105263158,
checkpoint_ep2700.pt,2700,success,-8.86,-0.89,23,43.5,0.78,1.91,0.2258,-0.3852173913043478,
checkpoint_ep2750.pt,2750,success,-0.23,-0.02,23,34.8,1.0,1.57,0.3438,-0.01,
checkpoint_ep2800.pt,2800,success,3.85,0.38,25,36.0,1.08,1.7,0.3963,0.154,
checkpoint_ep2850.pt,2850,success,15.52,1.55,27,37.0,1.39,1.41,0.556,0.5748148148148148,
checkpoint_ep2900.pt,2900,success,11.25,1.12,12,50.0,1.9,0.72,0.5941,0.9375,
checkpoint_ep2950.pt,2950,success,6.62,0.66,8,37.5,1.54,0.56,0.4953,0.8275,
checkpoint_ep3000.pt,3000,success,23.03,2.3,2,100.0,23025.4,0.0,0.7152,11.515,
checkpoint_ep3050.pt,3050,success,11.14,1.11,6,50.0,2.42,0.64,0.6083,1.8566666666666667,
checkpoint_ep3100.pt,3100,success,17.93,1.79,28,42.9,1.43,1.31,0.5839,0.6403571428571428,
checkpoint_ep3150.pt,3150,success,14.8,1.48,21,33.3,1.51,1.14,0.5674,0.7047619047619048,
checkpoint_ep3200.pt,3200,success,21.19,2.12,24,37.5,1.82,0.88,0.6711,0.8829166666666667,
checkpoint_ep3250.pt,3250,success,19.99,2.0,26,42.3,1.6,0.82,0.6277,0.7688461538461537,
checkpoint_ep3300.pt,3300,success,14.67,1.47,32,40.6,1.3,1.11,0.536,0.4584375,
checkpoint_ep3350.pt,3350,success,26.6,2.66,14,50.0,2.7,0.58,0.7423,1.9000000000000001,
checkpoint_ep3400.pt,3400,success,9.47,0.95,32,40.6,1.22,1.11,0.4743,0.2959375,
checkpoint_ep3450.pt,3450,success,30.25,3.02,23,47.8,2.01,0.87,0.7685,1.315217391304348,
checkpoint_ep3500.pt,3500,success,12.61,1.26,25,44.0,1.29,1.57,0.5144,0.5044,
checkpoint_ep3550.pt,3550,success,26.63,2.66,24,45.8,1.88,0.83,0.7244,1.1095833333333334,
checkpoint_ep3600.pt,3600,success,-2.47,-0.25,35,31.4,0.96,1.23,0.3161,-0.07057142857142858,
checkpoint_ep3650.pt,3650,success,32.19,3.22,18,44.4,2.29,0.73,0.7823,1.788333333333333,
checkpoint_ep3700.pt,3700,success,33.29,3.33,19,47.4,2.36,1.05,0.789,1.7521052631578946,
checkpoint_ep3750.pt,3750,success,41.95,4.2,18,50.0,3.33,0.59,0.8415,2.3305555555555557,
checkpoint_ep3800.pt,3800,success,18.15,1.81,22,45.5,1.52,1.09,0.5995,0.825,
checkpoint_ep3850.pt,3850,success,-4.82,-0.48,29,37.9,0.91,2.29,0.2835,-0.16620689655172416,
checkpoint_ep3900.pt,3900,success,23.2,2.32,28,42.9,1.52,1.32,0.6421,0.8285714285714285,
checkpoint_ep3950.pt,3950,success,6.87,0.69,30,46.7,1.15,1.41,0.4383,0.229,
checkpoint_ep4000.pt,4000,success,21.96,2.2,8,50.0,2.52,0.56,0.7054,2.745,
