feature,importance
funding_differential,0.14650355
short_funding_interval_hours,0.12447202
long_funding_interval_hours,0.07608923
hit_stop_loss,0.044300076
hit_profit_target,0.040148605
day_cos,0.03826178
day_sin,0.0266859
breakeven_efficiency,0.025135454
is_weekend,0.02362016
funding_direction,0.02265422
volume_24h,0.018870601
break_even_hours,0.016397806
price_spread_3d_avg,0.015903596
fund_apr_3d_proj,0.015201398
fund_break_even_3d_proj,0.015123954
funding_asymmetry,0.01493391
day_of_week,0.01477897
rate_stability,0.0145844305
fund_apr,0.01437968
fund_profit_8h_3d_proj,0.014305693
rate_trend_score,0.013895204
profit_consistency,0.012878294
short_funding_rate,0.012785935
rate_momentum_3d,0.0118741775
fund_apr_24h_proj,0.0118112145
hour_cos,0.01117176
fund_profit_8h_24h_proj,0.011170626
fund_break_even_24h_proj,0.010922022
rate_acceleration,0.010783913
price_spread_24h_avg,0.010647487
fund_profit_8h,0.01044203
rate_momentum_24h,0.010045888
is_european_session,0.009725589
long_funding_rate,0.009630374
is_asian_session,0.008217246
spread_consistency,0.0082061365
is_us_session,0.0076099406
sharpe_proxy,0.0074096224
hour_sin,0.007011484
risk_adjusted_return,0.0068274764
is_weekday,0.006641634
hours_until_next_funding,0.0065800915
break_even_feasibility,0.0064217644
expected_profit_signal,0.006001413
spread_volatility_stddev,0.005617931
spread_30sample_avg,0.005406599
volatility_risk_score,0.0053755343
hours_until_long_funding,0.005247762
spread_volatility_cv,0.005195845
hours_until_short_funding,0.0051221675
short_next_funding_minutes,0.0049581677
current_price_spread_pct,0.0048381262
long_next_funding_minutes,0.0037741917
hour_of_day,0.0034013223
