feature,importance
short_funding_interval_hours,0.11513478
long_funding_interval_hours,0.08666712
volume_24h,0.084437415
funding_differential,0.06438467
both_rates_negative,0.057855714
both_rates_positive,0.046695694
spread_widening_short_term,0.034475945
funding_favorable,0.028613674
is_long_duration,0.024903167
expected_funding_payments_short,0.022640344
fund_profit_8h_3d_proj,0.017003682
short_funding_rate,0.015718633
fund_apr_3d_proj,0.0155782625
expected_funding_payments_long,0.014460215
price_spread_3d_avg,0.014029173
fund_apr_24h_proj,0.013083681
long_funding_rate,0.012949403
day_cos,0.01172909
day_sin,0.01172814
long_term_deteriorating,0.011618736
day_of_week,0.011071702
all_spreads_aligned,0.010943627
target_hold_hours,0.010418875
fund_profit_8h_24h_proj,0.010302604
fund_apr,0.010252393
spread_medium_term_trend,0.010094583
sustainable_profit,0.009983621
rate_spike_magnitude_24h,0.009577642
price_spread_24h_avg,0.0093127955
rate_spike_magnitude,0.009144745
fund_profit_8h,0.008598584
spread_short_term_momentum,0.008261021
spread_stable_entry,0.008087919
spread_30sample_avg,0.0077927047
spread_narrowing_short_term,0.007670236
timeframe_divergence,0.0075108814
funding_asymmetry,0.0074893152
false_positive_reversal,0.0071937037
spread_deviation_from_mean,0.0071371063
spread_widening_medium_term,0.0068919137
expected_funding_profit_at_target,0.006669376
long_term_improving,0.0065869614
is_short_duration,0.006353434
all_timeframes_positive,0.006249392
sustainable_return_per_vol,0.0062435856
mean_reversion_risk,0.00617333
spike_opportunity_score,0.005890641
expected_profit_from_apr,0.0053574997
spread_mean_reversion_risk,0.005212642
long_term_stable,0.005136907
long_term_viable,0.0046979864
very_high_rate,0.004643206
rate_deterioration_severe,0.004440745
hour_sin,0.004030379
spread_volatility_stddev,0.0037285096
high_volatility,0.0035469935
hour_cos,0.003541831
hour_of_day,0.003231026
hours_until_long_funding,0.0027022306
spike_return_per_vol,0.0025618395
spread_entry_favorable,0.0025061504
short_next_funding_minutes,0.0023726944
hours_until_short_funding,0.0022620112
hours_until_next_funding,0.0020162044
low_volatility,0.0019943148
long_next_funding_minutes,0.0018121296
is_medium_duration,0.0017481995
spread_volatility_cv,0.0015440666
can_capture_funding,0.0013666688
extreme_rate,0.0013236093
volatility_risk_scaled,0.0012492783
near_funding_event,0.00077837554
medium_volatility,0.00058434985
