feature,importance
expected_funding_payments_short,0.14671223
short_funding_interval_hours,0.11264678
long_funding_rate,0.04948763
spread_volatility_stddev,0.037463333
funding_favorable,0.03741763
target_hold_hours,0.033525173
funding_differential,0.031012123
long_funding_interval_hours,0.025215793
expected_funding_payments_long,0.018792706
fund_apr_3d_proj,0.017037008
fund_profit_8h_3d_proj,0.016908104
both_rates_negative,0.015267146
both_rates_positive,0.014519851
day_sin,0.01434695
fund_apr,0.014198629
short_funding_rate,0.014017781
spread_30sample_avg,0.013866174
day_cos,0.0133428285
volume_24h,0.012413421
false_positive_reversal,0.012320059
day_of_week,0.012196621
hour_of_day,0.012038106
price_spread_3d_avg,0.011629932
funding_asymmetry,0.011220045
fund_profit_8h_24h_proj,0.011007697
rate_spike_magnitude_24h,0.010461466
all_timeframes_positive,0.010260684
timeframe_divergence,0.010157816
extreme_rate,0.010051478
spread_short_term_momentum,0.009934473
long_term_stable,0.009797813
spread_widening_short_term,0.009662091
near_funding_event,0.009483171
hour_sin,0.009437924
fund_apr_24h_proj,0.009201303
fund_profit_8h,0.009150364
price_spread_24h_avg,0.009122701
long_term_deteriorating,0.009103879
very_high_rate,0.008831417
spread_widening_medium_term,0.008100218
spread_deviation_from_mean,0.007921983
expected_funding_profit_at_target,0.007570907
rate_spike_magnitude,0.0073820753
is_medium_duration,0.0072961547
high_volatility,0.0064796247
mean_reversion_risk,0.006388889
spread_medium_term_trend,0.0063566747
spread_mean_reversion_risk,0.006258315
expected_profit_from_apr,0.006160941
is_short_duration,0.005900725
rate_deterioration_severe,0.0056727277
all_spreads_aligned,0.005304258
spike_opportunity_score,0.005195756
sustainable_profit,0.005023623
spread_narrowing_short_term,0.0050208764
hour_cos,0.004824261
low_volatility,0.0048178136
spread_stable_entry,0.004705666
long_term_improving,0.004590325
sustainable_return_per_vol,0.0043690735
hours_until_long_funding,0.003738587
long_next_funding_minutes,0.0032269491
spike_return_per_vol,0.0026365544
spread_volatility_cv,0.0026332447
spread_entry_favorable,0.0026307611
short_next_funding_minutes,0.0025823822
hours_until_next_funding,0.0024819812
volatility_risk_scaled,0.002344118
is_long_duration,0.0021629918
hours_until_short_funding,0.0020756912
can_capture_funding,0.0018999034
long_term_viable,0.0017063471
medium_volatility,0.001279237
