episode,entry_datetime,exit_datetime,symbol,long_exchange,short_exchange,status,position_size_usd,leverage,margin_used_usd,entry_long_price,entry_short_price,exit_long_price,exit_short_price,long_funding_rate,short_funding_rate,funding_earned_usd,long_funding_earned_usd,short_funding_earned_usd,entry_fees_usd,exit_fees_usd,total_fees_usd,realized_pnl_usd,realized_pnl_pct,unrealized_pnl_usd,unrealized_pnl_pct,hours_held
1,2025-10-23 08:21:09.540484428+00:00,2025-10-23 19:21:09.540484428+00:00,BLESSUSDT,Binance,Bybit,closed,540.0,1.0,1080.0,0.03465,0.03473,0.03412,0.0342,5e-05,0.00072096,0.415584,-0.054,0.469584,0.108,0.216,0.324,0.07255782030570304,0.006718316694972503,0.28855782030570304,0.026718316694972502,11.0
1,2025-10-23 10:21:09.540484428+00:00,2025-10-23 23:21:09.540484428+00:00,BLESSUSDT,Binance,Bybit,closed,481.67999999999995,1.0,963.3599999999999,0.03316,0.03327,0.03664,0.03662,0.00011218,0.00273328,0.6938889408,-0.072252,0.7661409408,0.09633599999999999,0.19267199999999998,0.289008,2.4541423734689634,0.2547482118282847,2.6468143734689633,0.2747482118282847,13.0
1,2025-10-23 15:21:09.540484428+00:00,2025-10-24 06:21:09.540484428+00:00,BLESSUSDT,Binance,Bybit,closed,383.25543551999993,1.0,766.5108710399999,0.03354,0.03354,0.03664,0.03662,0.00011218,0.00273328,2.523039518006553,-0.12431273306526719,2.6473522510718204,0.076651087104,0.153302174208,0.229953261312,2.5216225927231712,0.32897414609421527,2.6749247669311713,0.3489741460942153,15.0
1,2025-10-23 16:21:09.540484428+00:00,2025-10-24 08:21:09.540484428+00:00,BLESSUSDT,Binance,Bybit,closed,341.86384848384,1.0,683.72769696768,0.03412,0.0342,0.03664,0.03662,0.00011218,0.00273328,2.917554967561696,-0.13214405199294352,3.0496990195546396,0.068372769696768,0.136745539393536,0.205118309090304,3.771100612730907,0.5515500731439826,3.907846152124443,0.5715500731439827,16.0
1,2025-10-23 20:21:09.540484428+00:00,2025-10-24 10:21:09.540484428+00:00,BLESSUSDT,Binance,Bybit,closed,363.26647096988177,1.0,726.5329419397635,0.03664,0.03662,0.03664,0.03662,0.00011218,0.00273328,2.856473241177471,-0.12225369814020401,2.978726939317675,0.07265329419397636,0.1453065883879527,0.21795988258192905,2.6385133585955423,0.363165,2.783819946983495,0.38316500000000003,14.0
1,2025-10-24 00:21:09.540484428+00:00,2025-10-24 12:21:09.540484428+00:00,TURTLEUSDT,Binance,Bybit,closed,125.39588526443393,1.0,250.79177052886786,0.1713,0.1717,0.1713,0.1717,-0.02,-0.02,22.57125934759811,30.095012463464148,-7.523753115866036,0.025079177052886786,0.05015835410577357,0.07523753115866036,22.496021816439452,8.970000000000002,22.546180170545224,8.99,12.0
1,2025-10-24 13:21:09.540484428+00:00,2025-10-26 03:21:09.540484428+00:00,COAIUSDT,Bybit,Binance,closed,149.7633060148621,1.0,299.5266120297242,18.8432,17.614,18.8432,17.614,-0.02,-0.01292599,37.26296460622619,110.82484645099802,-73.56188184477183,0.029952661202972422,0.059905322405944844,0.08985798360891727,37.173106622617276,12.410619000000011,37.23301194502322,12.430619000000013,38.0
1,2025-10-24 11:21:09.540484428+00:00,2025-10-26 03:21:09.540484428+00:00,COAIUSDT,Bybit,Binance,closed,150.2532424819985,1.0,300.506484963997,19.3439,18.081,19.3439,18.081,-0.02,-0.01292599,42.05846993154675,120.20259398559872,-78.14412405405197,0.030050648496399705,0.06010129699279941,0.09015194548919911,41.968317986057556,13.965860999999943,42.028419283050354,13.985860999999943,40.0
1,2025-10-24 09:21:09.540484428+00:00,2025-10-26 03:21:09.540484428+00:00,COAIUSDT,Bybit,Binance,closed,142.2491247786598,1.0,284.4982495573196,18.85,17.984,18.85,17.984,-0.02,-0.01292599,40.32491276144921,119.48926481407416,-79.16435205262495,0.02844982495573196,0.05689964991146392,0.08534947486719588,40.23956328658202,14.14404599999998,40.296462936493484,14.16404599999998,42.0
1,2025-10-24 07:21:09.540484428+00:00,2025-10-26 03:21:09.540484428+00:00,COAIUSDT,Bybit,Binance,closed,134.72421828030335,1.0,269.4484365606067,18.0729,17.261,18.0729,17.261,-0.02,-0.01292599,38.19174534438136,118.55731208666704,-80.36556674228568,0.02694484365606067,0.05388968731212134,0.08083453096818201,38.11091081341318,14.144046000000055,38.1648005007253,14.164046000000056,44.0
1,2025-10-23 14:21:09.540484428+00:00,2025-10-26 03:21:09.540484428+00:00,BLESSUSDT,Binance,Bybit,closed,429.65856,1.0,859.31712,0.03365,0.03366,0.03365,0.03366,0.00011218,0.00273328,15.216478206796804,-0.6695541203904,15.886032327187204,0.08593171200000001,0.17186342400000001,0.25779513600000004,14.958683070796804,1.7407640000000002,15.130546494796803,1.7607640000000004,61.0
